"Source","Target","Group","Weight","Weight_2018","Weight_2019","Weight_2020","Weight_2021","Weight_2022","Weight_2023","Weight_2024","From","To"
0,4,"Collaborator-Collaborator",1,0,0,1,1,1,1,1,0,4
0,43,"Collaborator-Collaborator",1,0,0,1,1,1,1,1,0,43
0,60,"Collaborator-Collaborator",1,0,0,1,1,1,1,1,0,60
0,109,"Collaborator-Collaborator",1,0,0,1,1,1,1,1,0,109
0,126,"Collaborator-Collaborator",2,0,0,2,2,2,2,2,0,126
0,132,"Collaborator-Collaborator",1,0,0,1,1,1,1,1,0,132
0,140,"Collaborator-Collaborator",1,0,0,1,1,1,1,1,0,140
0,144,"Collaborator-Collaborator",1,0,0,1,1,1,1,1,0,144
0,153,"Collaborator-Collaborator",1,0,0,1,1,1,1,1,0,153
0,194,"Collaborator-Collaborator",2,0,0,2,2,2,2,2,0,194
0,214,"Doctoral Fellow-Collaborator",2,0,0,2,2,2,2,2,0,214
0,223,"Collaborator-Collaborator",1,0,0,1,1,1,1,1,0,223
1,2,"Faculty-Collaborator",1,0,0,0,0,0,0,1,1,2
1,61,"Faculty-Faculty",1,0,0,0,0,0,0,1,1,61
1,64,"Faculty-Collaborator",1,0,1,1,1,1,1,1,1,64
1,93,"Faculty-Doctoral Fellow",1,0,1,1,1,1,1,1,1,93
1,119,"Faculty-Collaborator",1,0,1,1,1,1,1,1,1,119
1,138,"Faculty-Collaborator",1,0,1,1,1,1,1,1,1,138
1,139,"Faculty-Collaborator",1,0,1,1,1,1,1,1,1,139
1,146,"Faculty-Collaborator",1,0,1,1,1,1,1,1,1,146
1,152,"Faculty-Faculty",1,0,1,1,1,1,1,1,1,152
1,201,"Faculty-Collaborator",1,0,1,1,1,1,1,1,1,201
1,228,"Faculty-Affiliate Student",1,0,1,1,1,1,1,1,1,228
2,61,"Faculty-Collaborator",1,0,0,0,0,0,0,1,2,61
3,15,"Faculty-Collaborator",1,0,0,0,0,0,0,1,3,15
3,63,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,3,63
3,79,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,3,79
3,133,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,3,133
3,141,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,3,141
3,155,"Doctoral Fellow-Collaborator",1,0,0,0,0,0,0,1,3,155
3,214,"Doctoral Fellow-Collaborator",1,0,0,0,0,0,0,1,3,214
3,222,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,3,222
4,43,"Collaborator-Collaborator",1,0,0,1,1,1,1,1,4,43
4,60,"Collaborator-Collaborator",1,0,0,1,1,1,1,1,4,60
4,126,"Collaborator-Collaborator",1,0,0,1,1,1,1,1,4,126
4,153,"Collaborator-Collaborator",1,0,0,1,1,1,1,1,4,153
4,194,"Collaborator-Collaborator",1,0,0,1,1,1,1,1,4,194
4,214,"Doctoral Fellow-Collaborator",1,0,0,1,1,1,1,1,4,214
4,223,"Collaborator-Collaborator",1,0,0,1,1,1,1,1,4,223
5,74,"Collaborator-Collaborator",1,0,0,0,0,1,1,1,5,74
5,95,"Collaborator-Collaborator",1,0,0,0,0,1,1,1,5,95
5,148,"Collaborator-Collaborator",1,0,0,0,0,1,1,1,5,148
5,160,"Collaborator-Collaborator",1,0,0,0,0,1,1,1,5,160
5,177,"Collaborator-Collaborator",1,0,0,0,0,1,1,1,5,177
5,216,"Collaborator-Collaborator",1,0,0,0,0,1,1,1,5,216
5,227,"Doctoral Fellow-Collaborator",1,0,0,0,0,1,1,1,5,227
6,30,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,6,30
6,68,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,6,68
6,135,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,6,135
6,147,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,6,147
6,203,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,6,203
6,232,"Doctoral Fellow-Collaborator",1,0,0,0,1,1,1,1,6,232
7,23,"Doctoral Fellow-Collaborator",1,0,0,0,1,1,1,1,7,23
7,24,"Doctoral Fellow-Collaborator",1,0,0,1,1,1,1,1,7,24
7,27,"Doctoral Fellow-Collaborator",2,0,0,0,2,2,2,2,7,27
7,49,"Doctoral Fellow-Collaborator",1,0,0,0,1,1,1,1,7,49
7,78,"Doctoral Fellow-Collaborator",1,0,0,1,1,1,1,1,7,78
7,86,"Doctoral Fellow-Collaborator",1,0,0,0,1,1,1,1,7,86
7,108,"Doctoral Fellow-Collaborator",1,0,0,0,1,1,1,1,7,108
7,125,"Faculty-Doctoral Fellow",2,0,0,0,2,2,2,2,7,125
7,143,"Faculty-Doctoral Fellow",1,0,0,1,1,1,1,1,7,143
7,154,"Doctoral Fellow-Collaborator",2,0,0,0,2,2,2,2,7,154
7,206,"Doctoral Fellow-Collaborator",2,0,0,0,2,2,2,2,7,206
7,209,"Doctoral Fellow-Doctoral Fellow",1,0,0,0,1,1,1,1,7,209
7,228,"Doctoral Fellow-Affiliate Student",2,0,0,0,2,2,2,2,7,228
8,96,"Doctoral Fellow-Collaborator",1,0,0,1,1,1,1,1,8,96
8,167,"Collaborator-Collaborator",1,0,0,1,1,1,1,1,8,167
8,171,"Collaborator-Collaborator",1,0,0,1,1,1,1,1,8,171
8,199,"Collaborator-Collaborator",1,0,0,1,1,1,1,1,8,199
9,104,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,9,104
9,112,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,9,112
9,160,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,9,160
9,224,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,9,224
9,227,"Doctoral Fellow-Collaborator",1,0,0,0,1,1,1,1,9,227
10,41,"Affiliate Student-Collaborator",1,0,0,0,0,0,1,1,10,41
10,163,"Faculty-Collaborator",1,0,0,0,0,0,1,1,10,163
11,22,"Faculty-Affiliate Student",2,0,0,0,0,1,2,2,11,22
11,48,"Affiliate Student-Collaborator",1,1,1,1,1,1,1,1,11,48
11,85,"Affiliate Student-Collaborator",1,1,1,1,1,1,1,1,11,85
11,192,"Affiliate Student-Collaborator",1,1,1,1,1,1,1,1,11,192
11,238,"Affiliate Student-Collaborator",1,0,0,0,0,0,1,1,11,238
12,54,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,12,54
12,62,"Faculty-Collaborator",1,0,0,0,0,0,0,1,12,62
12,150,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,12,150
12,158,"Faculty-Collaborator",1,0,0,0,0,0,0,1,12,158
13,52,"Doctoral Fellow-Collaborator",1,0,0,1,1,1,1,1,13,52
13,115,"Collaborator-Collaborator",1,0,0,1,1,1,1,1,13,115
13,187,"Collaborator-Collaborator",1,0,0,1,1,1,1,1,13,187
13,230,"Collaborator-Collaborator",1,0,0,1,1,1,1,1,13,230
14,88,"Faculty-Faculty",1,0,0,0,0,0,1,1,14,88
14,196,"Faculty-Collaborator",1,0,0,0,0,0,1,1,14,196
15,57,"Faculty-Affiliate Student",1,0,1,1,1,1,1,1,15,57
15,63,"Faculty-Collaborator",1,0,0,0,0,0,0,1,15,63
15,79,"Faculty-Collaborator",1,0,0,0,0,0,0,1,15,79
15,133,"Faculty-Collaborator",1,0,0,0,0,0,0,1,15,133
15,134,"Faculty-Faculty",3,0,1,2,2,3,3,3,15,134
15,141,"Faculty-Collaborator",1,0,0,0,0,0,0,1,15,141
15,145,"Faculty-Collaborator",1,0,0,0,0,1,1,1,15,145
15,155,"Faculty-Doctoral Fellow",1,0,0,0,0,0,0,1,15,155
15,156,"Faculty-Faculty",1,0,0,1,1,1,1,1,15,156
15,184,"Faculty-Collaborator",2,0,0,1,1,2,2,2,15,184
15,193,"Faculty-Faculty",1,0,0,1,1,1,1,1,15,193
15,204,"Faculty-Collaborator",2,0,1,2,2,2,2,2,15,204
15,214,"Faculty-Doctoral Fellow",3,0,0,1,1,2,2,3,15,214
15,222,"Faculty-Collaborator",1,0,0,0,0,0,0,1,15,222
16,18,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,16,18
16,25,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,16,25
16,26,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,16,26
16,44,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,16,44
16,91,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,16,91
16,128,"Doctoral Fellow-Collaborator",1,0,0,0,0,0,0,1,16,128
16,170,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,16,170
16,186,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,16,186
16,210,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,16,210
16,229,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,16,229
17,34,"Doctoral Fellow-Affiliate Student",1,0,0,1,1,1,1,1,17,34
17,88,"Faculty-Doctoral Fellow",1,0,0,1,1,1,1,1,17,88
18,25,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,18,25
18,26,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,18,26
18,44,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,18,44
18,91,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,18,91
18,128,"Doctoral Fellow-Collaborator",1,0,0,0,0,0,0,1,18,128
18,170,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,18,170
18,186,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,18,186
18,210,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,18,210
18,229,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,18,229
19,31,"Faculty-Collaborator",1,0,0,0,0,0,1,1,19,31
19,38,"Faculty-Collaborator",1,0,0,0,0,1,1,1,19,38
19,45,"Faculty-Collaborator",1,0,0,0,0,1,1,1,19,45
19,55,"Faculty-Collaborator",1,0,0,0,0,1,1,1,19,55
19,59,"Faculty-Collaborator",3,0,0,0,0,1,2,3,19,59
19,65,"Faculty-Collaborator",1,0,0,0,1,1,1,1,19,65
19,75,"Faculty-Collaborator",1,0,0,0,0,0,0,1,19,75
19,90,"Faculty-Collaborator",1,0,0,0,0,1,1,1,19,90
19,94,"Faculty-Collaborator",1,0,0,0,0,0,1,1,19,94
19,127,"Faculty-Doctoral Fellow",2,0,0,0,0,1,1,2,19,127
19,155,"Faculty-Doctoral Fellow",2,0,0,0,1,2,2,2,19,155
19,193,"Faculty-Faculty",3,0,0,0,1,2,3,3,19,193
19,202,"Faculty-Doctoral Fellow",2,0,0,0,0,1,2,2,19,202
20,69,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,20,69
20,72,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,20,72
20,99,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,20,99
20,100,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,20,100
20,111,"Faculty-Collaborator",1,0,0,0,1,1,1,1,20,111
20,128,"Doctoral Fellow-Collaborator",1,0,0,0,1,1,1,1,20,128
20,162,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,20,162
21,37,"Collaborator-Collaborator",1,0,0,0,0,0,1,1,21,37
21,56,"Collaborator-Collaborator",1,0,0,0,0,0,1,1,21,56
21,58,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,21,58
21,71,"Collaborator-Collaborator",2,0,0,0,1,1,2,2,21,71
21,80,"Doctoral Fellow-Collaborator",1,0,0,0,1,1,1,1,21,80
21,93,"Doctoral Fellow-Collaborator",1,0,0,0,0,0,1,1,21,93
21,205,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,21,205
21,217,"Collaborator-Collaborator",2,0,0,0,1,1,2,2,21,217
22,41,"Faculty-Affiliate Student",1,0,0,1,1,1,1,1,22,41
22,53,"Faculty-Doctoral Fellow",1,0,0,0,0,0,1,1,22,53
22,163,"Faculty-Faculty",1,0,0,1,1,1,1,1,22,163
22,212,"Faculty-Collaborator",1,0,0,0,0,0,1,1,22,212
22,218,"Faculty-Collaborator",1,0,0,0,0,0,1,1,22,218
22,225,"Faculty-Collaborator",1,0,0,1,1,1,1,1,22,225
22,238,"Faculty-Collaborator",1,0,0,0,0,0,1,1,22,238
23,27,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,23,27
23,49,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,23,49
23,108,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,23,108
23,125,"Faculty-Collaborator",1,0,0,0,1,1,1,1,23,125
23,154,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,23,154
23,206,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,23,206
23,209,"Doctoral Fellow-Collaborator",1,0,0,0,1,1,1,1,23,209
23,228,"Affiliate Student-Collaborator",1,0,0,0,1,1,1,1,23,228
24,78,"Collaborator-Collaborator",1,0,0,1,1,1,1,1,24,78
24,143,"Faculty-Collaborator",1,0,0,1,1,1,1,1,24,143
25,26,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,25,26
25,44,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,25,44
25,91,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,25,91
25,128,"Doctoral Fellow-Collaborator",1,0,0,0,0,0,0,1,25,128
25,170,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,25,170
25,186,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,25,186
25,210,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,25,210
25,229,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,25,229
26,44,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,26,44
26,91,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,26,91
26,128,"Doctoral Fellow-Collaborator",1,0,0,0,0,0,0,1,26,128
26,170,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,26,170
26,186,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,26,186
26,210,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,26,210
26,229,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,26,229
27,49,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,27,49
27,86,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,27,86
27,108,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,27,108
27,125,"Faculty-Collaborator",2,0,0,0,2,2,2,2,27,125
27,154,"Collaborator-Collaborator",2,0,0,0,2,2,2,2,27,154
27,206,"Collaborator-Collaborator",2,0,0,0,2,2,2,2,27,206
27,209,"Doctoral Fellow-Collaborator",1,0,0,0,1,1,1,1,27,209
27,228,"Affiliate Student-Collaborator",2,0,0,0,2,2,2,2,27,228
28,92,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,28,92
28,101,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,28,101
28,111,"Faculty-Collaborator",1,0,0,0,0,0,0,1,28,111
28,128,"Doctoral Fellow-Collaborator",1,0,0,0,0,0,0,1,28,128
29,32,"Faculty-Collaborator",1,0,1,1,1,1,1,1,29,32
29,70,"Collaborator-Collaborator",1,0,1,1,1,1,1,1,29,70
30,68,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,30,68
30,135,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,30,135
30,147,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,30,147
30,203,"Collaborator-Collaborator",1,0,0,0,1,1,1,1,30,203
30,232,"Doctoral Fellow-Collaborator",1,0,0,0,1,1,1,1,30,232
31,59,"Collaborator-Collaborator",1,0,0,0,0,0,1,1,31,59
31,94,"Collaborator-Collaborator",1,0,0,0,0,0,1,1,31,94
31,193,"Faculty-Collaborator",1,0,0,0,0,0,1,1,31,193
31,202,"Doctoral Fellow-Collaborator",1,0,0,0,0,0,1,1,31,202
32,41,"Faculty-Affiliate Student",2,0,0,0,1,1,2,2,32,41
32,47,"Faculty-Collaborator",1,0,0,1,1,1,1,1,32,47
32,66,"Faculty-Collaborator",1,0,0,1,1,1,1,1,32,66
32,70,"Faculty-Collaborator",1,0,1,1,1,1,1,1,32,70
32,82,"Faculty-Collaborator",1,0,0,1,1,1,1,1,32,82
32,113,"Faculty-Collaborator",1,1,1,1,1,1,1,1,32,113
32,129,"Faculty-Collaborator",2,0,0,0,1,1,2,2,32,129
32,130,"Faculty-Faculty",2,0,1,1,2,2,2,2,32,130
32,131,"Faculty-Affiliate Student",2,0,0,0,1,1,2,2,32,131
32,163,"Faculty-Faculty",2,0,0,0,1,1,2,2,32,163
32,168,"Faculty-Collaborator",1,1,1,1,1,1,1,1,32,168
32,175,"Faculty-Collaborator",1,0,0,0,1,1,1,1,32,175
32,185,"Faculty-Collaborator",2,0,0,0,1,1,2,2,32,185
32,188,"Faculty-Collaborator",1,0,0,0,1,1,1,1,32,188
32,195,"Faculty-Collaborator",1,1,1,1,1,1,1,1,32,195
32,198,"Faculty-Collaborator",1,0,0,1,1,1,1,1,32,198
32,207,"Faculty-Collaborator",1,0,0,0,1,1,1,1,32,207
32,208,"Faculty-Collaborator",1,1,1,1,1,1,1,1,32,208
32,211,"Faculty-Collaborator",1,1,1,1,1,1,1,1,32,211
32,236,"Faculty-Collaborator",1,1,1,1,1,1,1,1,32,236
33,41,"Affiliate Student-Collaborator",1,0,0,0,0,0,0,1,33,41
33,102,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,33,102
33,120,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,33,120
33,163,"Faculty-Collaborator",1,0,0,0,0,0,0,1,33,163
33,200,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,33,200
33,213,"Collaborator-Collaborator",1,0,0,0,0,0,0,1,33,213
34,88,"Faculty-Affiliate Student",2,0,0,2,2,2,2,2,34,88
35,126,"Collaborator-Collaborator",1,0,0,1,1,1,1,1,35,126
35,166,"Collaborator-Collaborator",1,0,0,1,1,1,1,1,35,166
35,194,"Collaborator-Collaborator",1,0,0,1,1,1,1,1,35,194
35,214,"Doctoral Fellow-Collaborator",1,0,0,1,1,1,1,1,35,214
36,61,"Faculty-Collaborator",1,0,0,0,0,1,1,1,36,61
36,121,"Collaborator-Collaborator",1,0,0,0,0,1,1,1,36,121
36,137,"Collaborator-Collaborator",1,0,0,0,0,1,1,1,36,137
36,158,"Faculty-Collaborator",1,0,0,0,0,1,1,1,36,158
37,56,"Collaborator-Collaborator",1,0,0,0,0,0,1,1,37,56
37,71,"Collaborator-Collaborator",1,0,0,0,0,0,1,1,37,71
37,93,"Doctoral Fellow-Collaborator",1,0,0,0,0,0,1,1,37,93
37,217,"Collaborator-Collaborator",1,0,0,0,0,0,1,1,37,217
38,45,"Collaborator-Collaborator",1,0,0,0,0,1,1,1,38,45
38,55,"Collaborator-Collaborator",1,0,0,0,0,1,1,1,38,55
38,59,"Collaborator-Collaborator",1,0,0,0,0,1,1,1,38,59
38,90,"Collaborator-Collaborator",1,0,0,0,0,1,1,1,38,90
38,127,"Doctoral Fellow-Collaborator",1,0,0,0,0,1,1,1,38,127
38,155,"Doctoral Fellow-Collaborator",1,0,0,0,0,1,1,1,38,155
38,193,"Faculty-Collaborator",1,0,0,0,0,1,1,1,38,193
38,202,"Doctoral Fellow-Collaborator",1,0,0,0,0,1,1,1,38,202
39,61,"Faculty-Collaborator",1,1,1,1,1,1,1,1,39,61
39,125,"Faculty-Collaborator",1,1,1,1,1,1,1,1,39,125
39,180,"Collaborator-Collaborator",1,1,1,1,1,1,1,1,39,180
39,215,"Collaborator-Collaborator",1,1,1,1,1,1,1,1,39,215
39,228,"Affiliate Student-Collaborator",1,1,1,1,1,1,1,1,39,228
40,52,"Doctoral Fellow-Collaborator",1,1,1,1,1,1,1,1,40,52
40,190,"Collaborator-Collaborator",1,1,1,1,1,1,1,1,40,190
41,67,"Affiliate Student-Collaborator",2,1,1,1,2,2,2,2,41,67
41,102,"Affiliate Student-Collaborator",1,0,0,0,0,0,0,1,41,102
41,120,"Affiliate Student-Collaborator",2,0,1,1,1,1,1,2,41,120
41,129,"Affiliate Student-Collaborator",2,0,0,0,1,1,2,2,41,129
41,131,"Affiliate Student-Affiliate Student",2,0,0,0,1,1,2,2,41,131
41,163,"Faculty-Affiliate Student",9,1,2,3,6,6,8,9,41,163
41,185,"Affiliate Student-Collaborator",2,0,0,0,1,1,2,2,41,185
41,189,"Affiliate Student-Collaborator",1,0,0,0,1,1,1,1,41,189
41,200,"Affiliate Student-Collaborator",1,0,0,0,0,0,0,1,41,200
41,213,"Affiliate Student-Collaborator",1,0,0,0,0,0,0,1,41,213
41,220,"Doctoral Fellow-Affiliate Student",2,1,1,1,2,2,2,2,41,220
41,225,"Affiliate Student-Collaborator",1,0,0,1,1,1,1,1,41,225
41,237,"Affiliate Student-Collaborator",1,0,1,1,1,1,1,1,41,237
