ColNumber,ParticipantGroup,QuestionGroup,Item,Type,Variable,Text,QualtricsImportId,Y2019,Y2020,Y2021,Y2022,Y2023,Keep
1,All,Meta,Meta,Meta,Year,Year,Modification,1,1,1,1,1,1
2,All,Meta,Meta,Meta,StartDate,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}",1,1,1,1,1,1
3,All,Meta,Meta,Meta,EndDate,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/New_York""}",0,1,1,1,1,1
4,All,Meta,Meta,Meta,RecordedDate,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}",0,1,1,1,1,1
5,All,Meta,Meta,Meta,Progress,Progress,"{""ImportId"":""progress""}",0,1,1,1,1,1
6,All,Meta,Meta,Meta,Duration (in seconds),Duration (in seconds),"{""ImportId"":""duration""}",0,1,1,1,1,0
7,All,Meta,Meta,Meta,Finished,Finished,"{""ImportId"":""finished""}",0,1,1,1,1,0
8,All,Meta,Meta,Meta,Remove,Remove,Modification,1,1,1,1,1,1
9,All,Meta,Meta,Meta,ResponseId,Response ID,"{""ImportId"":""_recordId""}",1,1,1,1,1,1
10,All,Meta,Meta,Meta,Role,Role,Modification,1,1,1,1,1,1
11,All,Meta,Meta,Meta,Affiliate,Affiliate,"{""ImportId"":""Affiliate""}",1,1,1,1,1,0
12,All,Meta,Meta,Meta,Mentee,Mentee,"{""ImportId"":""Mentee""}",1,1,1,1,1,0
13,All,Meta,Meta,Meta,Mentor,Mentor,"{""ImportId"":""Mentor""}",1,1,1,1,1,0
14,All,Meta,Meta,Meta,Administrator,Administrator,Modification,1,1,1,1,1,0
15,All,Meta,Meta,Meta,DistributionChannel,Distribution Channel,"{""ImportId"":""distributionChannel""}",1,1,1,1,1,1
16,All,Meta,Meta,Meta,UserLanguage,User Language,"{""ImportId"":""userLanguage""}",1,1,1,1,1,1
17,All,NRT Goals,Overall Goals,LIKERT,Q123,NRT program is on track to achieve its goals.,"{""ImportId"":""QID123""}",1,1,1,1,1,1
18,All,NRT Goals,Disseminate Research,LIKERT,Q2,"NRT program (e.g.,  (virtual) colloquium series, annual showcase, and informal events) has helped disseminate the latest research findings on Complex Networks and Systems.","{""ImportId"":""QID5""}",1,1,1,1,1,1
19,All,NRT Goals,Local Awareness,LIKERT,Q1,"NRT program (e.g., open house, extended colloquium series, annual showcase) has helped increase awareness of Complex Networks and Systems  within the Indiana University.","{""ImportId"":""QID3""}",1,1,1,1,1,1
20,All,NRT Goals,National Awareness,LIKERT,Q120,"NRT program (e.g. open house, extended colloquium series, annual showcase) has helped increase awareness of Complex Networks and Systems nationally.","{""ImportId"":""QID120""}",1,1,1,1,1,1
21,All,COVID,COVID,LIKERT,Q158,The COVID-19 pandemic has impacted your participation in the NRT program.,"{""ImportId"":""QID158""}",0,0,1,1,1,1
22,All,COVID,Comments,Qual,Q155,Please use the space below to share thoughts or comments about how the COVID-19 pandemic impacted your participation in the NRT program.,"{""ImportId"":""QID155_TEXT""}",0,0,1,1,1,1
23,Faculty,Mentorship,Mentorship,YN,Q149,Did you have an opportunity to mentor an NRT student?,"{""ImportId"":""QID149""}",,1,1,1,1,1
24,Faculty,Mentorship,Presentation,LIKERT,Q126_1,"The following questions ask about the characteristics of your NRT mentoring experience. We realize that you may have more than one mentee and, if that is the case, we ask that you answer these questions in terms of how you think your mentorship has affected your mentees in general.
My mentorship has helped to - improve my mentees’ presentation skills.","{""ImportId"":""QID126_1""}",,1,1,1,1,1
25,Faculty,Mentorship,Publications,LIKERT,Q126_2,"The following questions ask about the characteristics of your NRT mentoring experience. We realize that you may have more than one mentee and, if that is the case, we ask that you answer these questions in terms of how you think your mentorship has affected your mentees in general.
My mentorship has helped to - improve the quality and quantity of my mentees’ publications.","{""ImportId"":""QID126_2""}",,1,1,1,1,1
26,Faculty,Mentorship,Grants,LIKERT,Q126_3,"The following questions ask about the characteristics of your NRT mentoring experience. We realize that you may have more than one mentee and, if that is the case, we ask that you answer these questions in terms of how you think your mentorship has affected your mentees in general.
My mentorship has helped to - improve the quality and quantity of my mentees’ grant proposals.","{""ImportId"":""QID126_3""}",,1,1,1,1,1
27,Faculty,Mentorship,Research,LIKERT,Q126_4,"The following questions ask about the characteristics of your NRT mentoring experience. We realize that you may have more than one mentee and, if that is the case, we ask that you answer these questions in terms of how you think your mentorship has affected your mentees in general.
My mentorship has helped to - improve my mentees’ research skills.","{""ImportId"":""QID126_4""}",,1,1,1,1,1
28,Faculty,Mentorship,Help,YN,Q36,Did the mentorship you provided to a mentee or mentees help the individuals in other ways not noted above?,"{""ImportId"":""QID43""}",,1,1,1,1,1
29,Faculty,Mentorship,Help,Qual,Q36T,Please describe.,"{""ImportId"":""QID44_TEXT""}",,1,1,1,1,1
30,Faculty,Mentorship,Comments,Qual,Q38,Please use the space below to share thoughts or comments about your NRT mentoring experience not captured by the previous questions.,"{""ImportId"":""QID46_TEXT""}",,1,1,1,1,1
31,Doctoral Fellow,Program Impact,Presentation,LIKERT,Q129_1,The NRT program has had a positive effect on ... - my presentation skills,"{""ImportId"":""QID129_1""}",,1,1,1,1,1
32,Doctoral Fellow,Program Impact,Writing,LIKERT,Q129_2,The NRT program has had a positive effect on ... - my writing skills,"{""ImportId"":""QID129_2""}",,1,1,1,1,1
33,Doctoral Fellow,Program Impact,Networking,LIKERT,Q129_3,The NRT program has had a positive effect on ... - my networking skills,"{""ImportId"":""QID129_3""}",,1,1,1,1,1
34,Doctoral Fellow,Program Impact,Grant Writing,LIKERT,Q129_4,The NRT program has had a positive effect on ... - my technical skills,"{""ImportId"":""QID129_5""}",,1,1,1,1,1
35,Doctoral Fellow,Program Impact,Technical Skills,LIKERT,Q129_5,The NRT program has had a positive effect on ... - my grant writing skills,"{""ImportId"":""QID129_6""}",,1,1,1,1,1
36,Doctoral Fellow,Student Satisfaction,Community,LIKERT,Q137_1,Please rate the following questions about the NRT program. - I feel like I am a part of the CNS NRT community.,"{""ImportId"":""QID136_1""}",,1,1,1,1,1
37,Doctoral Fellow,Student Satisfaction,Milestone Progress,LIKERT,Q137_2,Please rate the following questions about the NRT program. - I am satisfied with my progress through my PhD program Milestones.,"{""ImportId"":""QID136_2""}",,1,1,1,1,1
38,Doctoral Fellow,Student Satisfaction,2nd PhD Program,LIKERT,Q137_3,Please rate the following questions about the NRT program. - I am satisfied with my second PhD program.,"{""ImportId"":""QID136_5""}",,1,1,1,1,1
39,Doctoral Fellow,Student Satisfaction,Mentoring,LIKERT,Q137_4,"Please rate the following questions about the NRT program. - In general, I am satisfied with my CNS mentoring.","{""ImportId"":""QID136_6""}",,1,1,1,1,1
40,Doctoral Fellow,Student Satisfaction,CNS PhD Program,LIKERT,Q137_5,"Please rate the following questions about the NRT program. - In general, I am satisfied with the CNS program.","{""ImportId"":""QID136_3""}",,1,1,1,1,1
41,Doctoral Fellow,Student Satisfaction,Comments,Qual,Q133,"If you are not satisfied with any of the above statements, please feel free to add any comments.","{""ImportId"":""QID133_TEXT""}",,1,1,1,1,1
42,Doctoral Fellow,Quality of Work,Quality of Work,LIKERT,Q48,"The process of preparing and submitting my work to the NRT Annual Showcase has helped improve the quality of my work (e.g., proposal, grant idea or manuscript).","{""ImportId"":""QID59""}",,1,1,1,1,1
43,Doctoral Fellow,Research Skills,Research Skills,LIKERT,Q49,The process of preparing and submitting my work to the NRT Annual Showcase has helped improve my research skills.,"{""ImportId"":""QID60""}",,1,1,1,1,1
44,Doctoral Fellow,Collaboration,Collaboration,LIKERT,Q50,The process of preparing and submitting my work to the NRT Annual Showcase has helped me form new research collaborations.,"{""ImportId"":""QID61""}",,1,1,1,1,1
45,Doctoral Fellow,Publications,Publications,YN,Q148,"If you submitted a paper draft at the Showcase, have you subsequently submitted that draft for publication?","{""ImportId"":""QID148""}",,1,1,1,1,1
46,Doctoral Fellow,Proposals,Proposals,YN,Q51,"If you submitted a research proposal at the Showcase, have you subsequently submitted that proposal?","{""ImportId"":""QID63""}",,1,1,1,1,1
47,Doctoral Fellow,Research Skills,Research Skills,YN,Q53,Do you feel that the process of preparing and submitting your work to the NRT Annual Showcase helped to advance your skills in any other way?,"{""ImportId"":""QID69""}",,1,1,1,1,1
48,Doctoral Fellow,Showcase,Advance Work,Qual,Q53a,In what ways?,"{""ImportId"":""QID70_TEXT""}",,1,1,1,1,1
49,Doctoral Fellow,Showcase,Advance Skills,Qual,Q53b,How could the NRT Annual Showcase have better helped you to advance your skills?,"{""ImportId"":""QID71_TEXT""}",,1,1,1,1,1
50,Doctoral Fellow,Showcase,Comments,Qual,Q56,Please use the space below to share any other thoughts or comments about the NRT Annual Showcase presentation experience.,"{""ImportId"":""QID76_TEXT""}",,1,1,1,1,1
51,Doctoral Fellow,Colloquium,Research Skills,LIKERT,Q60,Participating in the NRT Extended Colloquium Series has helped to improve my research skills.,"{""ImportId"":""QID81""}",,1,1,1,1,1
52,Doctoral Fellow,Colloquium,Collaboration,LIKERT,Q59,Participating at the NRT Extended Colloquium Series has helped to form new research collaborations.,"{""ImportId"":""QID80""}",,1,1,1,1,1
53,Doctoral Fellow,Colloquium,Improve,YN,Q62,Are there ways that the NRT Extended Colloquium Series program could be improved?,"{""ImportId"":""QID85""}",,1,1,1,1,1
54,Doctoral Fellow,Colloquium,Improve,Qual,Q62a,In what ways?,"{""ImportId"":""QID86_TEXT""}",,1,1,1,1,1
55,Doctoral Fellow,Colloquium,Comments,Qual,Q64,Please use the space below to share thoughts or comments about the NRT Extended Colloquium Series experience not captured by the previous questions.,"{""ImportId"":""QID89_TEXT""}",,1,1,1,1,1
56,Doctoral Fellow,Mentorship Impact,Presentation,LIKERT,Q124_1,Receiving mentorship from a NRT mentor has helped me to - improve my presentation skills.,"{""ImportId"":""QID124_1""}",,1,1,1,1,1
57,Doctoral Fellow,Mentorship Impact,Publications,LIKERT,Q124_2,Receiving mentorship from a NRT mentor has helped me to - improve the quality and quantity of my publications.,"{""ImportId"":""QID124_2""}",,1,1,1,1,1
58,Doctoral Fellow,Mentorship Impact,Grants,LIKERT,Q124_3,Receiving mentorship from a NRT mentor has helped me to - improve the quality and quantity of my grant proposals.,"{""ImportId"":""QID124_3""}",,1,1,1,1,1
59,Doctoral Fellow,Mentorship Impact,Research,LIKERT,Q124_4,Receiving mentorship from a NRT mentor has helped me to - improve my research skills.,"{""ImportId"":""QID124_4""}",,1,1,1,1,1
60,Doctoral Fellow,Mentorship Impact,Interdisciplinary,LIKERT,Q124_5,Receiving mentorship from a NRT mentor has helped me to - build interdisciplinary skills in my research.,"{""ImportId"":""QID124_5""}",,1,1,1,1,1
61,Doctoral Fellow,Mentorship Impact,Collaboration,LIKERT,Q124_6,Receiving mentorship from a NRT mentor has helped me to - open up new opportunities for collaboration.,"{""ImportId"":""QID124_6""}",,1,1,1,1,1
62,Doctoral Fellow,Mentor Quality,Mentorship-Quality,LIKERT,Q125_1,My mentor - was accessible.,"{""ImportId"":""QID125_1""}",,1,1,1,1,1
63,Doctoral Fellow,Mentor Quality,Mentorship-Quality,LIKERT,Q125_2,My mentor - demonstrated professional integrity.,"{""ImportId"":""QID125_2""}",,1,1,1,1,1
64,Doctoral Fellow,Mentor Quality,Mentorship-Quality,LIKERT,Q125_3,My mentor - demonstrated content expertise in my area of need.,"{""ImportId"":""QID125_3""}",,1,1,1,1,1
65,Doctoral Fellow,Mentor Quality,Mentorship-Quality,LIKERT,Q125_4,My mentor - was approachable.,"{""ImportId"":""QID125_4""}",,1,1,1,1,1
66,Doctoral Fellow,Mentor Quality,Mentorship-Quality,LIKERT,Q125_5,My mentor - was supportive and encouraging.,"{""ImportId"":""QID125_5""}",,1,1,1,1,1
67,Doctoral Fellow,Mentor Quality,Mentorship-Quality,LIKERT,Q125_6,My mentor - provided constructive and useful critiques of my work.,"{""ImportId"":""QID125_6""}",,1,1,1,1,1
68,Doctoral Fellow,Mentor Quality,Mentorship-Quality,LIKERT,Q125_7,"My mentor - was helpful in providing direction and guidance on professional issues (e.g., networking).","{""ImportId"":""QID125_7""}",,1,1,1,1,1
69,Doctoral Fellow,Mentor Quality,Mentorship-Quality,LIKERT,Q125_8,"My mentor - answered my questions satisfactorily (e.g., timely response, clear, comprehensive).","{""ImportId"":""QID125_8""}",,1,1,1,1,1
70,Doctoral Fellow,Mentor Quality,Mentorship-Quality,LIKERT,Q125_9,"My mentor - acknowledged my contributions appropriately (e.g., committee contributions, awards).","{""ImportId"":""QID125_9""}",,1,1,1,1,1
71,Doctoral Fellow,Mentor Quality,Mentorship-Quality,LIKERT,Q125_10,"My mentor - suggested appropriate resources (e.g., expert electronic contacts, source materials).","{""ImportId"":""QID125_10""}",,1,1,1,1,1
72,Doctoral Fellow,Mentor Quality,Mentorship-Quality,LIKERT,Q125_11,"My mentor - challenged me to extend my abilities (e.g., risk taking, try a new professional activity, draft a section of an article).","{""ImportId"":""QID125_11""}",,1,1,1,1,1
73,Doctoral Fellow,Mentorship,Improve,YN,Q27,Are there ways you think the mentorship process could be improved?,"{""ImportId"":""QID32""}",,1,1,1,1,1
74,Doctoral Fellow,Improve,Improve,Qual,Q27T,Please describe:,"{""ImportId"":""QID33_TEXT""}",,1,1,1,1,1
75,Doctoral Fellow,Mentorship,Mentorship,Qual,Q29,Please use the space below to share thoughts or comments about NRT mentorship not captured by the previous questions.,"{""ImportId"":""QID35_TEXT""}",,1,1,1,1,1
76,Doctoral Fellow,Academic Research,Openness,LIKERT,Q138_1,My research to date reflects - my openness to diverse disciplinary perspectives when analyzing particular problems.,"{""ImportId"":""QID138_1""}",,1,1,1,1,1
77,Doctoral Fellow,Academic Research,Learning,LIKERT,Q138_2,My research to date reflects - my interest in learning about disciplinary concepts and theories in addition to the ones I am most familiar with.,"{""ImportId"":""QID138_2""}",,1,1,1,1,1
78,Doctoral Fellow,Academic Research,New Methods,LIKERT,Q138_3,My research to date reflects - my interest in learning about new research methods that are different from the ones I am most familiar.,"{""ImportId"":""QID138_10""}",,1,1,1,1,1
79,Doctoral Fellow,Academic Research,Complex Problems,LIKERT,Q138_4,My research to date reflects - my ability to conceptualize complex problems by identifying various situation-specific factors that account for those problems.,"{""ImportId"":""QID138_11""}",,1,1,1,1,1
80,Doctoral Fellow,Academic Research,Frameworks,LIKERT,Q138_5,My research to date reflects - my ability to create conceptual frameworks that bridge multiple fields.,"{""ImportId"":""QID138_12""}",,1,1,1,1,1
81,Doctoral Fellow,Academic Research,Thinking,LIKERT,Q138_6,My research to date reflects - my ability to think broadly about complex problems.,"{""ImportId"":""QID138_3""}",,1,1,1,1,1
82,Doctoral Fellow,Personal Values,Collaboration,LIKERT,Q140,I would describe myself as someone who values interdisciplinary collaboration.,"{""ImportId"":""QID140""}",,1,1,1,1,1
83,Doctoral Fellow,Personal Values,Time Investment,LIKERT,Q141,I am willing to invest the time required for learning about fields that are different from my own.,"{""ImportId"":""QID141""}",,1,1,1,1,1
84,Doctoral Fellow,Personal Values,Challenges,LIKERT,Q142,"I enjoy tackling the challenges posed by working on complex problems, even if doing so requires me to expend extra time and effort.","{""ImportId"":""QID142""}",,1,1,1,1,1
85,Doctoral Fellow,Personal Values,Perspectives,LIKERT,Q143,I generally approach scientific problems from a multi-level perspective that encompasses both micro- and macro- level factors.,"{""ImportId"":""QID143""}",,1,1,1,1,1
86,Doctoral Fellow,Personal Values,Fields,LIKERT,Q144,"In my own work, I incorporate perspectives from fields that are different from my own.","{""ImportId"":""QID144""}",,1,1,1,1,1
87,Doctoral Fellow,Personal Values,Methods,LIKERT,Q145,"In my own research, I use research methods drawn from more than one discipline rather than relying exclusively on a single disciplinary approach.","{""ImportId"":""QID145""}",,1,1,1,1,1
88,Doctoral Fellow,CNS Program,CNS Program,LIKERT,Q137,The NRT program has had a positive effect on my interdisciplinary.,"{""ImportId"":""QID137""}",,1,1,1,1,1
89,Doctoral Fellow,Interdisciplinary,Comments,Qual,Q147,Please use the space below to share thoughts or comments about how your NRT experience has influenced your views about interdisciplinarity.,"{""ImportId"":""QID147_TEXT""}",,1,1,1,1,1
90,Affiliate,SummerResearch,Presentation,LIKERT,Q151_1,Participating in NRT summer research has helped me to - improve my presentation skills.,"{""ImportId"":""QID151_1""}",,1,1,1,1,0
91,Affiliate,SummerResearch,Publications,LIKERT,Q151_2,Participating in NRT summer research has helped me to - improve the quality and quantity of my publications.,"{""ImportId"":""QID151_2""}",,1,1,1,1,0
92,Affiliate,SummerResearch,Grant Writing,LIKERT,Q151_3,Participating in NRT summer research has helped me to - improve the quality and quantity of my grant proposals.,"{""ImportId"":""QID151_3""}",,1,1,1,1,0
93,Affiliate,SummerResearch,Research Skills,LIKERT,Q151_4,Participating in NRT summer research has helped me to - improve my research skills.,"{""ImportId"":""QID151_4""}",,1,1,1,1,0
94,Affiliate,SummerResearch,Interdisciplinary Skills,LIKERT,Q151_5,Participating in NRT summer research has helped me to - build interdisciplinary skills in my research.,"{""ImportId"":""QID151_5""}",,1,1,1,1,0
95,Affiliate,SummerResearch,Collaboration,LIKERT,Q151_6,Participating in NRT summer research has helped me to - open up new opportunities for collaboration.,"{""ImportId"":""QID151_6""}",,1,1,1,1,0
96,Affiliate,SummerResearch,Improve,YN,Q153,Are there ways you think the affiliate experiences in NRT program could be improved?,"{""ImportId"":""QID153""}",,1,1,1,1,0
97,Affiliate,SummerResearch,Comments,Qual,Q154,Please describe:,"{""ImportId"":""QID154_TEXT""}",,1,1,1,1,0
98,All,Group,AsIs,Group,Q159_0_GROUP,"As the NRT program concludes its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Groups - Continue as is","{""ImportId"":""QID160_0_GROUP""}",0,0,0,1,1,1
99,All,Group,Adapt,Group,Q159_1_GROUP,"As the NRT program concludes its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Groups - Adapt","{""ImportId"":""QID160_1_GROUP""}",0,0,0,1,1,1
100,All,Group,Drop,Group,Q159_2_GROUP,"As the NRT program concludes its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Groups - Drop","{""ImportId"":""QID160_2_GROUP""}",0,0,0,1,1,1
101,All,Rank-AsIs,Colloquium,Rank,Q159_0_1_RANK,"As the NRT program concludes its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Ranks - Continue as is - Colloquium series - Rank","{""ImportId"":""QID160_G0_1_RANK""}",0,0,0,1,1,1
102,All,Rank-AsIs,Research Showcase,Rank,Q159_0_2_RANK,"As the NRT program concludes its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Ranks - Continue as is - Research showcase - Rank","{""ImportId"":""QID160_G0_2_RANK""}",0,0,0,1,1,1
103,All,Rank-AsIs,Affiliate Research,Rank,Q159_0_3_RANK,"As the NRT program concludes its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Ranks - Continue as is - Affiliate style summer research opportunities - Rank","{""ImportId"":""QID160_G0_3_RANK""}",0,0,0,1,1,1
104,All,Rank-AsIs,CNS Dual Degree Program,Rank,Q159_0_4_RANK,"As the NRT program concludes its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Ranks - Continue as is - CNS dual-degree doctoral programs - Rank","{""ImportId"":""QID160_G0_4_RANK""}",0,0,0,1,1,1
105,All,Rank-AsIs,Interdisciplinary Mentorships,Rank,Q159_0_5_RANK,"As the NRT program concludes its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Ranks - Continue as is - Interdisciplinary mentorships - Rank","{""ImportId"":""QID160_G0_5_RANK""}",0,0,0,1,1,1
106,All,Rank-AsIs,Interdisciplinary Skills Training,Rank,Q159_0_6_RANK,"As the NRT program concludes its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Ranks - Continue as is - Interdisciplinary skills training opportunities - Rank","{""ImportId"":""QID160_G0_6_RANK""}",0,0,0,1,1,1
107,All,Rank-AsIs,CNS Research Skills Training,Rank,Q159_0_7_RANK,"As the NRT program concludes its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Ranks - Continue as is - CNS research skills training opportunities - Rank","{""ImportId"":""QID160_G0_7_RANK""}",0,0,0,1,1,1
108,All,Rank-Adapt,Colloquium,Rank,Q159_1_1_RANK,"As the NRT program concludes its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Ranks - Adapt - Colloquium series - Rank","{""ImportId"":""QID160_G1_1_RANK""}",0,0,0,1,1,1
109,All,Rank-Adapt,Research Showcase,Rank,Q159_1_2_RANK,"As the NRT program concludes its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Ranks - Adapt - Research showcase - Rank","{""ImportId"":""QID160_G1_2_RANK""}",0,0,0,1,1,1
110,All,Rank-Adapt,Affiliate Research,Rank,Q159_1_3_RANK,"As the NRT program concludes its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Ranks - Adapt - Affiliate style summer research opportunities - Rank","{""ImportId"":""QID160_G1_3_RANK""}",0,0,0,1,1,1
111,All,Rank-Adapt,CNS Dual Degree Program,Rank,Q159_1_4_RANK,"As the NRT program concludes its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Ranks - Adapt - CNS dual-degree doctoral programs - Rank","{""ImportId"":""QID160_G1_4_RANK""}",0,0,0,1,1,1
112,All,Rank-Adapt,Interdisciplinary Mentorships,Rank,Q159_1_5_RANK,"As the NRT program concludes its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Ranks - Adapt - Interdisciplinary mentorships - Rank","{""ImportId"":""QID160_G1_5_RANK""}",0,0,0,1,1,1
113,All,Rank-Adapt,Interdisciplinary Skills Training,Rank,Q159_1_6_RANK,"As the NRT program concludes its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Ranks - Adapt - Interdisciplinary skills training opportunities - Rank","{""ImportId"":""QID160_G1_6_RANK""}",0,0,0,1,1,1
114,All,Rank-Adapt,CNS Research Skills Training,Rank,Q159_1_7_RANK,"As the NRT program concludes its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Ranks - Adapt - CNS research skills training opportunities - Rank","{""ImportId"":""QID160_G1_7_RANK""}",0,0,0,1,1,1
115,All,Rank-Drop,Colloquium,Rank,Q159_2_1_RANK,"As the NRT program concludes its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Ranks - Drop - Colloquium series - Rank","{""ImportId"":""QID160_G2_1_RANK""}",0,0,0,1,1,1
116,All,Rank-Drop,Research Showcase,Rank,Q159_2_2_RANK,"As the NRT program concludes its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Ranks - Drop - Research showcase - Rank","{""ImportId"":""QID160_G2_2_RANK""}",0,0,0,1,1,1
117,All,Rank-Drop,Affiliate Research,Rank,Q159_2_3_RANK,"As the NRT program concludes its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Ranks - Drop - Affiliate style summer research opportunities - Rank","{""ImportId"":""QID160_G2_3_RANK""}",0,0,0,1,1,1
118,All,Rank-Drop,CNS Dual Degree Program,Rank,Q159_2_4_RANK,"As the NRT program concludes its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Ranks - Drop - CNS dual-degree doctoral programs - Rank","{""ImportId"":""QID160_G2_4_RANK""}",0,0,0,1,1,1
119,All,Rank-Drop,Interdisciplinary Mentorships,Rank,Q159_2_5_RANK,"As the NRT program concludes its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Ranks - Drop - Interdisciplinary mentorships - Rank","{""ImportId"":""QID160_G2_5_RANK""}",0,0,0,1,1,1
120,All,Rank-Drop,Interdisciplinary Skills Training,Rank,Q159_2_6_RANK,"As the NRT program concludes its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Ranks - Drop - Interdisciplinary skills training opportunities - Rank","{""ImportId"":""QID160_G2_6_RANK""}",0,0,0,1,1,1
121,All,Rank-Drop,CNS Research Skills Training,Rank,Q159_2_7_RANK,"As the NRT program concludes its final year of funding, what program activities would you like to see continued as is, adapted, or dropped for future students enrolled in complex network science graduate programs?

 
Please add each NRT program item to one of the following groups below: Continue as is, Adapt, or Drop. - Ranks - Drop - CNS research skills training opportunities - Rank","{""ImportId"":""QID160_G2_7_RANK""}",0,0,0,1,1,1
122,All,ContinueNRT,Explanation,Qual,Q160,"Please explain your choices for the grouping selections that you have made regarding aspects of the NRT program you'd continue, adapt, or drop from future CNS graduate programs.","{""ImportId"":""QID159_TEXT""}",0,0,0,1,1,1
123,All,ContinueNRT,Comments,Qual,Q162,Please add any additional comments about continuation of aspects of the NRT program below.,"{""ImportId"":""QID162_TEXT""}",0,0,0,1,1,1
124,All,Other,Comments,Qual,Q107,Please share any other comments you have about your experience with the NRT program:,"{""ImportId"":""QID107_TEXT""}",0,1,1,1,1,1
